Marca temporal,Ciudad , Colegio,Grado,Edad,Género ,Grupo_familiar,Zona_Vivienda,Grupo_Social,8  Empujando_intencional, 9. Halado_cabello_agredido,10 Agredido_con_golpes ,11 Dañado_objetos ,12. ¿Lanzan_objetos? ,13. ¿Insultos_ofensas?,14 ¿Víctima_chantaje?,15 ¿Avergonzado_público?,16 ¿Amenazas? ,17 ¿Víctima_bromas_pesadas?,18 ¿Frases excluyentes?,19 ¿Burlas_por_aspecto_físico_o_ condiciones_ particulares? ,20 ¿Mensajes_contenido_ofensivo_desagradable?,"21. ¿Insultos, groserías y palabras desagradables a través de redes sociales? ",22. ¿Ha recibido fotos y/o videos desagradables o incómodos sobre usted u otras personas a través de las redes sociales?,23. ¿Ha recibido chantaje o amenazas por fotos o videos incómodos donde usted aparezca?
8/28/2023 11:16:06,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre, Padre, Hermanos",Urbano,Ninguna,Entre 2 y 4 veces al mes,Nunca,Nunca,Una vez al mes,Una vez al mes,Entre 2 y 4 veces al mes,Nunca,Una vez al mes,Nunca,Nunca,En blanco,Nunca,Nunca,Nunca,Nunca,Nunca
8/28/2023 11:23:28,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,Abuelos,Urbano,Ninguna,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Una vez al mes,Una vez al mes,Una vez al mes,Una vez al mes,Una vez al mes,Nunca,Nunca,Nunca
8/28/2023 11:25:14,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,Madre y Padre,Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/28/2023 11:26:43,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/28/2023 11:29:03,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Entre 2 y 4 veces al mes,Una vez al mes,5 o más veces al mes,Nunca,Entre 2 y 4 veces al mes,Una vez al mes,Una vez al mes,Entre 2 y 4 veces al mes,Nunca,Entre 2 y 4 veces al mes,5 o más veces al mes,Una vez al mes,Nunca
8/28/2023 11:34:39,Tunja,ENSLAP,9-01,De 14-17 años,Prefiero no decirlo,"Madre, Hermanos, Otros, Esposo Mamá",Urbano,Ninguna,En Blanco,En Blanco,Una vez al mes,Una vez al mes,Nunca,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca,Entre 2 y 4 veces al mes,Nunca,Nunca,Nunca,Nunca,Nunca
8/28/2023 11:36:36,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca
8/28/2023 11:40:27,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Padre, Hermanos",Urbano,otro,Nunca,Una vez al mes,Nunca,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca,Una vez al mes,Una vez al mes,Nunca,Nunca,Entre 2 y 4 veces al mes,Entre 2 y 4 veces al mes,Nunca,Nunca
8/28/2023 11:42:55,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre, Hermanos, Tios, Otros",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Una vez al mes,Una vez al mes,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca
8/28/2023 11:44:38,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre, Hermanos, Otros",Urbano,otro,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/28/2023 11:51:08,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Una vez al mes,Nunca,Nunca,5 o más veces al mes,Una vez al mes,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca
8/28/2023 18:19:34,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Entre 2 y 4 veces al mes,Nunca,Nunca,Nunca,Nunca,Entre 2 y 4 veces al mes,Nunca,5 o más veces al mes,Nunca,5 o más veces al mes,5 o más veces al mes,Nunca,Nunca,Nunca,Nunca,Nunca
8/28/2023 19:05:13,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Una vez al mes,Nunca,Una vez al mes,Una vez al mes,Nunca,Nunca,Entre 2 y 4 veces al mes,Nunca,Nunca,Nunca,Una vez al mes
8/28/2023 19:12:06,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,Madre y Padre,Urbano,otro,Entre 2 y 4 veces al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Una vez al mes,Una vez al mes,Una vez al mes,Nunca,Nunca,Nunca
8/28/2023 19:16:32,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca
8/29/2023 8:59:56,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:01:29,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre y Padre, Hermanos, Abuelos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:48:48,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre y Padre, Hermanos, Abuelos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:50:37,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:52:12,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,Madre,Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca
8/29/2023 9:56:32,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 14:23:01,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Una vez al mes,Nunca,5 o más veces al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca
8/29/2023 14:26:02,Tunja,ENSLAP,9-01,De 14-17 años,Femenino,"Madre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/1/2023 11:03:50,Tunja,ENSLAP,9-03,De 11-13 años,Femenino,Madre,Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Entre 2 y 4 veces al mes,Nunca,Nunca,Nunca,Nunca
9/1/2023 11:07:40,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,Madre y Padre,Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/1/2023 11:10:24,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,Madre y Padre,Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Una vez al mes,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/1/2023 11:12:49,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Una vez al mes,Una vez al mes,Entre 2 y 4 veces al mes,Entre 2 y 4 veces al mes,Nunca,Nunca
9/1/2023 11:14:22,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/1/2023 11:15:43,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,Madre y Padre,Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca
9/1/2023 11:23:39,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Una vez al mes,Una vez al mes,Una vez al mes,Una vez al mes,Nunca,5 o más veces al mes,5 o más veces al mes,5 o más veces al mes,Nunca,5 o más veces al mes,5 o más veces al mes,Una vez al mes,Una vez al mes,Una vez al mes,Una vez al mes,Nunca
9/1/2023 11:32:41,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Rural,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/1/2023 11:35:33,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Una vez al mes,Nunca,Una vez al mes,Nunca,Una vez al mes,Una vez al mes,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca
9/1/2023 11:37:53,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,Madre,Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Entre 2 y 4 veces al mes,Entre 2 y 4 veces al mes,Nunca,Nunca
9/1/2023 11:42:14,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Una vez al mes,Nunca,Nunca,Una vez al mes,Una vez al mes,Nunca,Nunca,Una vez al mes,Nunca
9/1/2023 11:43:57,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Entre 2 y 4 veces al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Entre 2 y 4 veces al mes,Nunca
9/1/2023 15:27:50,Tunja,ENSLAP,9-03,Mayor a 17 años,Femenino,Madre,Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Una vez al mes,Una vez al mes,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca
9/5/2023 8:47:48,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre, Otros, Tíos y Primos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/5/2023 8:54:06,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/5/2023 8:55:40,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/5/2023 8:58:45,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Entre 2 y 4 veces al mes,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Una vez al mes,Una vez al mes,Una vez al mes,Una vez al mes,Nunca
9/5/2023 9:02:23,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca,Entre 2 y 4 veces al mes,Nunca
9/5/2023 9:04:21,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre, Hermanos",Urbano,Ninguna,Una vez al mes,Una vez al mes,Nunca,Nunca,Nunca,Una vez al mes,Una vez al mes,Una vez al mes,Nunca,Una vez al mes,Una vez al mes,Nunca,Nunca,Nunca,Una vez al mes,Nunca
9/5/2023 9:05:35,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/12/2023 7:46:05,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/12/2023 7:52:26,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca,Entre 2 y 4 veces al mes,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/12/2023 7:55:56,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos, Otros, Tíos y Primos ",Urbano,Ninguna,Nunca,Una vez al mes,Nunca,Nunca,Una vez al mes,Entre 2 y 4 veces al mes,Nunca,Una vez al mes,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca
9/12/2023 7:58:09,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre, Otros",Urbano,otro,Una vez al mes,Una vez al mes,Una vez al mes,Nunca,Nunca,Una vez al mes,Nunca,Entre 2 y 4 veces al mes,Una vez al mes,Una vez al mes,Una vez al mes,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca
9/12/2023 8:00:22,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Padre, Madrasta e hijo",Rural,Ninguna,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Una vez al mes,Una vez al mes,Nunca,Una vez al mes,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca,Una vez al mes
9/12/2023 8:02:10,Tunja,ENSLAP,903,De 14-17 años,Femenino,Madre,Urbano,Ninguna,Nunca,Una vez al mes,Nunca,Nunca,Una vez al mes,Entre 2 y 4 veces al mes,Una vez al mes,Nunca,Una vez al mes,Nunca,Entre 2 y 4 veces al mes,Entre 2 y 4 veces al mes,Nunca,Nunca,Nunca,Nunca
9/12/2023 8:04:02,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,Madre y Padre,Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Una vez al mes,5 o más veces al mes,5 o más veces al mes,5 o más veces al mes,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,5 o más veces al mes,5 o más veces al mes
9/12/2023 8:05:31,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/12/2023 8:06:48,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre, Abuelos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/12/2023 8:08:24,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Otros, ",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Entre 2 y 4 veces al mes,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca
9/12/2023 8:10:24,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Una vez al mes,Nunca,Nunca,Nunca
9/12/2023 8:11:38,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/12/2023 8:14:29,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos, Abuelos",Urbano,Ninguna,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Entre 2 y 4 veces al mes,Nunca,Nunca,Nunca
9/12/2023 8:16:26,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos, Abuelos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca
9/12/2023 8:18:00,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/12/2023 8:19:09,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
9/12/2023 8:20:18,Tunja,ENSLAP,9-03,De 14-17 años,Femenino,Madre y Padre,Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:21:25,Tunja,INEM,906,De 14-17 años,Masculino,Madre y Padre,Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:25:52,Tunja,INEM,906,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:28:31,Tunja,INEM,906,De 14-17 años,Masculino,Otros,Urbano,Ninguna,Una vez al mes,Una vez al mes,Una vez al mes,Una vez al mes,Una vez al mes,Entre 2 y 4 veces al mes,Nunca,Una vez al mes,Una vez al mes,Una vez al mes,Una vez al mes,Entre 2 y 4 veces al mes,Una vez al mes,Nunca,Nunca,Nunca
8/29/2023 9:39:27,Tunja,INEM,906,De 14-17 años,Masculino,"Madre y Padre, Hermanos",Urbano,Ninguna,Una vez al mes,Nunca,Entre 2 y 4 veces al mes,Una vez al mes,Entre 2 y 4 veces al mes,Nunca,Nunca,Una vez al mes,Una vez al mes,Una vez al mes,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:42:13,Tunja,INEM,906,De 14-17 años,Masculino,"Madre y Padre, Hermanos",Urbano,Ninguna,5 o más veces al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:45:31,Tunja,INEM,906,De 14-17 años,Masculino,Otros,Urbano,Ninguna,Una vez al mes,Nunca,5 o más veces al mes,Nunca,Nunca,5 o más veces al mes,Nunca,Nunca,Entre 2 y 4 veces al mes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:46:57,Tunja,INEM,906,De 14-17 años,Masculino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:48:34,Tunja,INEM,906,De 14-17 años,Masculino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:50:15,Tunja,INEM,906,De 14-17 años,Masculino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Una vez al mes,Una vez al mes,Nunca,Una vez al mes,Entre 2 y 4 veces al mes,Una vez al mes,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:53:22,Tunja,INEM,906,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Nunca,Nunca,Nunca,Una vez al mes,Una vez al mes,Una vez al mes,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:55:10,Tunja,INEM,906,De 14-17 años,Masculino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 9:58:16,Tunja,INEM,906,De 14-17 años,Femenino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
8/29/2023 10:00:25,Tunja,INEM,906,De 14-17 años,Masculino,"Madre y Padre, Hermanos",Urbano,Ninguna,Nunca,Nunca,Nunca,Nunca,Nunca,Una vez al mes,Una vez al mes,Nunca,Nunca,Una vez al mes,5 o más veces al mes,Nunca,Una vez al mes,Una vez al mes,Una vez al mes,Una vez al mes
